metric,variant,param,coef,std_err,pvalue
lexical_diversity,ols,const,0.1645123580908795,0.009276560482366587,2.2492041784308085e-19
lexical_diversity,ols,time,-0.0006407918190452452,0.0003137305627375694,0.0484789783358514
lexical_diversity,ols,post_0,0.0004409262184307365,0.0070683540141088606,0.9506050276589046
lexical_diversity,ols,time_post_0,0.0016705845986677882,0.0005592993470255082,0.005046768107230282
lexical_diversity,ols,post_1,-0.01049914373875997,0.007799433857521372,0.186672730909067
lexical_diversity,ols,time_post_1,-0.0004131048522707276,0.0006693011803103125,0.5409753379285356
lexical_diversity,ols,mo_2,-0.0093638894257147,0.007281757262276018,0.20667460790483025
lexical_diversity,ols,mo_3,-0.002400385852070603,0.007794210329642626,0.7598797607630293
lexical_diversity,ols,mo_4,-0.00030002468791515136,0.007816789002711927,0.9695951030238633
lexical_diversity,ols,mo_5,0.0051257904542031715,0.00784899979338484,0.5178731531107589
lexical_diversity,ols,mo_6,0.010849508593083174,0.007890724744509805,0.177638425032376
lexical_diversity,ols,mo_7,-0.0029329169153036096,0.007925828753652204,0.713516821993387
lexical_diversity,ols,mo_8,0.004954639065190697,0.007911438405159692,0.5350936941159885
lexical_diversity,ols,mo_9,0.011653588617377263,0.00719187772799442,0.1138782251492284
lexical_diversity,ols,mo_10,0.007331791428199397,0.007910965900203704,0.3602083873616842
lexical_diversity,ols,mo_11,0.004790695014500806,0.007843695421644332,0.5451889278949028
lexical_diversity,ols,mo_12,0.0019540023657137195,0.007258957769883088,0.7893241881796106
lexical_diversity,hc1,const,0.1645123580908795,0.005061168070452177,9.115258261972868e-232
lexical_diversity,hc1,time,-0.0006407918190452452,0.00018623049644508538,0.0005798828293136949
lexical_diversity,hc1,post_0,0.0004409262184307365,0.006704813471270027,0.9475668026978068
lexical_diversity,hc1,time_post_0,0.0016705845986677882,0.0005321827895353968,0.001694571681990137
lexical_diversity,hc1,post_1,-0.01049914373875997,0.008167087630298091,0.19860254050884185
lexical_diversity,hc1,time_post_1,-0.0004131048522707276,0.0006805545416032654,0.5438428715903059
lexical_diversity,hc1,mo_2,-0.0093638894257147,0.0062138274078990625,0.13182503268911394
lexical_diversity,hc1,mo_3,-0.002400385852070603,0.004814342451740848,0.6180678344095254
lexical_diversity,hc1,mo_4,-0.00030002468791515136,0.005618501455505878,0.9574136717352332
lexical_diversity,hc1,mo_5,0.0051257904542031715,0.007339431376724901,0.48493290466759553
lexical_diversity,hc1,mo_6,0.010849508593083174,0.010942169541504688,0.32142599334152255
lexical_diversity,hc1,mo_7,-0.0029329169153036096,0.005816676529249504,0.6141028887329583
lexical_diversity,hc1,mo_8,0.004954639065190697,0.005780645111109036,0.3913850191337884
lexical_diversity,hc1,mo_9,0.011653588617377263,0.006379098314717904,0.06772390865007817
lexical_diversity,hc1,mo_10,0.007331791428199397,0.00650874636385755,0.25997417748178
lexical_diversity,hc1,mo_11,0.004790695014500806,0.005185301822886832,0.35553891929207704
lexical_diversity,hc1,mo_12,0.0019540023657137195,0.011433589012048167,0.8643022588730069
lexical_diversity,hac,const,0.1645123580908795,0.0033700146198948943,0.0
lexical_diversity,hac,time,-0.0006407918190452452,0.00015831675288332768,5.176093247292767e-05
