metric,model,n_obs,rsquared,coef_post_0,p_post_0,coef_time_post_0,p_time_post_0,coef_post_1,p_post_1,coef_time_post_1,p_time_post_1,primary_coef,primary_abs_t
lexical_diversity,ols,53,0.4682981720957634,0.0004409262184307365,0.9506050276589046,0.0016705845986677882,0.005046768107230282,-0.01049914373875997,0.186672730909067,-0.0004131048522707276,0.5409753379285356,post_0,0.06238032469095651
lexical_diversity,hc1,53,0.4682981720957634,0.0004409262184307365,0.9475668026978068,0.0016705845986677882,0.001694571681990137,-0.01049914373875997,0.19860254050884185,-0.0004131048522707276,0.5438428715903059,post_0,0.06576263759164894
lexical_diversity,hac,53,0.4682981720957634,0.0004409262184307365,0.939616333114734,0.0016705845986677882,0.0006461850322138652,-0.01049914373875997,0.14171687381921205,-0.0004131048522707276,0.5684990333431406,post_0,0.07575209008758024
lexical_diversity,wls_sqrt_n,53,0.6139765866339583,-0.003743389012180784,0.4651855936588296,0.0017701325356103952,0.0003667202726847406,-0.017586171135492313,0.003996663201749243,-0.00011840745688496054,0.8056909990113247,post_0,0.7303347473730787
lexical_diversity,sarimax,53,,0.0005716780842681429,0.9724368013759676,0.0017665602497915975,0.5359296647367452,-0.010450575729159486,0.32833132043946855,-0.0005254245689215979,0.5847853303951582,post_0,0.03455222033632639
lexical_diversity,hc1_median_monthly,53,0.5323268248675366,0.0037955306891326486,0.5537325319063933,0.0018352014747689636,0.0003077925269079716,-0.013851238002101533,0.09529209790316767,6.8110352283768695e-06,0.9917807745513174,post_0,0.5921763091105969
avg_sentence_length,ols,53,0.4406826601961057,1.1576332789342942,0.019557600962431233,-0.0037051026761402706,0.9218023041682901,0.5691257838091099,0.28343708789439814,0.09545374337653184,0.040236219669717806,post_0,2.44395189438901
avg_sentence_length,hc1,53,0.4406826601961057,1.1576332789342942,0.016728179969180898,-0.0037051026761402706,0.9506391022175396,0.5691257838091099,0.19032107258547337,0.09545374337653184,0.012477097280791887,post_0,2.3926282644429935
avg_sentence_length,hac,53,0.4406826601961057,1.1576332789342942,0.005282843670169973,-0.0037051026761402706,0.9228874483928062,0.5691257838091099,0.11497277412647444,0.09545374337653184,0.002554362870337051,post_0,2.7892612166087734
avg_sentence_length,wls_sqrt_n,53,0.28470372829460777,0.8479034597506547,0.06345572446193572,-0.007732321919476648,0.8993612738783598,0.2454277853383857,0.3902307245095602,0.0723579305439499,0.00531205703597643,post_0,1.8559848012284654
avg_sentence_length,sarimax,53,,0.9747209238762328,0.08712390775384572,-0.027473069382630534,0.6905305165130602,0.37907183187227617,0.4700503996836145,0.10521961950077113,0.018971085496729392,post_0,1.7107682235957373
avg_sentence_length,hc1_median_monthly,53,0.44645899764887576,0.9334913466581987,0.0384095880573016,0.06483961559940282,0.24298106769470162,0.12901883389230773,0.7737150433701276,0.026882961602002292,0.4799197333259818,post_0,2.070456794204422
avg_word_length,ols,53,0.7531463622252895,-0.01430823279448612,0.7800524343349311,0.013677003734506893,0.0016672642046871027,-0.05717332179451046,0.3150725477513983,-0.0008046910674378641,0.8682230983070857,post_0,0.2813505581503246
avg_word_length,hc1,53,0.7531463622252895,-0.01430823279448612,0.7590529825221929,0.013677003734506893,0.00477843858308296,-0.05717332179451046,0.3604467438454101,-0.0008046910674378641,0.8713555956798258,post_0,0.30672462778383364
avg_word_length,hac,53,0.7531463622252895,-0.01430823279448612,0.7101197000230658,0.013677003734506893,0.000628663549019193,-0.05717332179451046,0.28653108685025797,-0.0008046910674378641,0.8530712740602895,post_0,0.3716953332144916
avg_word_length,wls_sqrt_n,53,0.845820524719102,0.0038726370139425814,0.9215025524394413,0.012800049938692173,0.0037444478268471395,-0.06757757294758349,0.10513307516479758,0.0006040922092875635,0.8590364402877154,post_0,0.09854120733945818
avg_word_length,sarimax,53,,-0.007537854538580318,0.9122755612882733,0.014585622288825038,0.1680276380379251,-0.05055756226334839,0.4094580922287797,-0.000645479640528537,0.9061234098604551,post_0,0.1101687298013286
avg_word_length,hc1_median_monthly,53,0.6103454949626719,0.004000299849990396,0.9489540485897667,0.010111874827887599,0.0892334170173736,-0.04579332914250411,0.5752210681063902,0.002829543164941835,0.665290509405461,post_0,0.06402031797318365
total_words,ols,53,0.5527773569384689,-2174.6513336285925,0.06003830670971792,-129.9622255165743,0.15120408491613083,-858.4703833332314,0.4917396658140085,80.8053786428155,0.45106335620510085,post_0,1.9416425360980085
total_words,hc1,53,0.5527773569384689,-2174.6513336285925,0.049296809759946554,-129.9622255165743,0.05506267907231121,-858.4703833332314,0.41668332160694466,80.8053786428155,0.4882979132580878,post_0,1.9660155902254133
total_words,hac,53,0.5527773569384689,-2174.6513336285925,0.027392982561086507,-129.9622255165743,0.00792462380945196,-858.4703833332314,0.31903686052233304,80.8053786428155,0.41735111438793526,post_0,2.205871723845154
total_words,wls_sqrt_n,53,0.5044452281157741,-823.7521915358452,0.2250530699772274,-132.76678071701406,0.07344317941225807,457.4374130401104,0.5171977201795279,11.809803573343235,0.8587876163791099,post_0,1.2132007696017193
total_words,sarimax,53,,-1728.3346625396418,0.1352905548830574,-107.99742744326949,0.5623108578660727,-1191.5820132941064,0.34447457319114705,57.7182540261277,0.46014790872292943,post_0,1.49356040536546
total_words,hc1_median_monthly,53,0.4474169898170697,-1983.659859626891,0.1440742721769809,-97.4963117454148,0.2864575120875479,-1222.0933836564773,0.35443078176168374,93.54256995700518,0.5096736753589006,post_0,1.4607856607766976
unique_words,ols,53,0.6325315252707763,-247.9262508302732,0.04219299261814123,11.803478530103554,0.21313187714977003,-346.22019979119165,0.011423623149262438,13.959248045473235,0.21843453003687932,post_0,2.1065380991506975
unique_words,hc1,53,0.6325315252707763,-247.9262508302732,0.011091445914759713,11.803478530103554,0.12347238190009013,-346.22019979119165,0.012765623326316108,13.959248045473235,0.3214957667773487,post_0,2.539804465737134
unique_words,hac,53,0.6325315252707763,-247.9262508302732,0.00038819193275553695,11.803478530103554,0.05342426990181026,-346.22019979119165,0.014898447172418502,13.959248045473235,0.16003124708046246,post_0,3.547983911376915
unique_words,wls_sqrt_n,53,0.5643384382741103,-130.08261754103845,0.08169574522887599,11.405896109706969,0.09273530917747741,-202.23365849883405,0.030649056380776203,6.502397014389599,0.43895829779810025,post_0,1.740930593904593
unique_words,sarimax,53,,-202.64592665213124,0.20947587812364987,19.422946391435506,0.15958644295660973,-378.2626784000872,0.0016176682588701153,12.915444764784878,0.16523782228320472,post_0,1.255007938612999
unique_words,hc1_median_monthly,53,0.4883578784781806,-228.04406113694654,0.07966452372908854,10.579000243674976,0.2952153265940093,-340.0142337220491,0.047583493585020675,14.777882256493967,0.3949155476540229,post_0,1.7526359068938646
grading_total_score,ols,45,0.5256551856148768,-1.11108489843284,0.3111831393758262,0.07808132739332252,0.3664422484985504,-0.38890267842356074,0.7772252466938552,0.12852508773271554,0.4389468709589626,post_0,1.0313942064637736
grading_total_score,hc1,45,0.5256551856148768,-1.11108489843284,0.3130998525452543,0.07808132739332252,0.3140687824397349,-0.38890267842356074,0.771136212657639,0.12852508773271554,0.4395476628477537,post_0,1.008738937656867
grading_total_score,hac,45,0.5256551856148768,-1.11108489843284,0.18092454724225304,0.07808132739332252,0.179004751181144,-0.38890267842356074,0.6518106368871198,0.12852508773271554,0.243958535105522,post_0,1.337913771809477
grading_total_score,wls_sqrt_n,45,0.6030720639544527,0.33347548509983316,0.7324054472110949,0.05713877323929273,0.5298304607548732,0.3501461507450365,0.7559179488104434,0.26302074604461456,0.055595716757969905,post_0,0.34192750848994957
grading_total_score,sarimax,45,,0.3819516720418625,0.8198104959690243,0.3132384441152309,0.07088101141853442,-0.9032384301443893,0.5119062351561359,0.19866384702356046,0.2133635973062381,post_0,0.22778872045924373
grading_total_score,hc1_median_monthly,45,0.516075835399415,-1.5215310462232248,0.18572601717284798,0.04998109374653126,0.5349506217799846,-0.11055494038943436,0.9321596017121937,0.1266433020992861,0.37877138337868566,post_0,1.323328923321644
num_references,ols,53,0.5671426381367434,-5.214052748011635,0.18576543154233585,-0.508060984011038,0.10535883970257194,-0.7542218810183043,0.8606232059056599,-0.05597277983127924,0.8793037480002742,post_0,1.3489876341565463
num_references,hc1,53,0.5671426381367434,-5.214052748011635,0.12048861231266084,-0.508060984011038,0.17611072193717425,-0.7542218810183043,0.872781345849802,-0.05597277983127924,0.8936579692210295,post_0,1.552725982286762
num_references,hac,53,0.5671426381367434,-5.214052748011635,0.06605377086240136,-0.508060984011038,0.10746677399814605,-0.7542218810183043,0.8700934435839707,-0.05597277983127924,0.8667672405235132,post_0,1.8380585995446113
num_references,wls_sqrt_n,53,0.4161697143801856,-3.92768890357901,0.20507131712550997,-0.6432124084564628,0.08286971253356215,1.5969169304829791,0.70761483295872,0.012886243788101397,0.9709914616826429,post_0,1.2672348805728102
num_references,sarimax,53,,-4.249970097900297,0.6175096993901286,-0.48128648879785874,0.600146204023724,-0.8301832536203754,0.8965181732461825,0.048902996827291906,0.916124319656546,post_0,0.49938284903493985
num_references,hc1_median_monthly,53,0.5366334174431666,-9.048090084506189,0.015461645593707623,0.07883303084620163,0.8428338547210029,-8.246994161328663,0.0956352968593523,-0.053382200154606596,0.9044131925779756,post_0,2.4213813962563893
