split_ix,split_dt,rss
19,2023-05-01,0.007197468502528011
23,2023-09-01,0.007325228519306719
22,2023-08-01,0.007432302377320375
18,2023-04-01,0.007484849873185912
44,2025-06-01,0.00753588502345893
43,2025-05-01,0.007568237424365735
17,2023-03-01,0.007639248466226491
21,2023-07-01,0.007666599851477437
20,2023-06-01,0.007666857145177062
8,2022-06-01,0.007769691286185709
42,2025-04-01,0.007829563378212081
16,2023-02-01,0.00786487465943316
11,2022-09-01,0.007941762378942941
24,2023-10-01,0.007951507672996055
15,2023-01-01,0.007955638970871407
14,2022-12-01,0.007959357528397822
10,2022-08-01,0.007963150444398966
12,2022-10-01,0.007963451902596404
13,2022-11-01,0.007963710616820451
9,2022-07-01,0.007969643452467149
26,2023-12-01,0.007971583562685418
25,2023-11-01,0.007980760519502013
41,2025-03-01,0.008040877140528284
37,2024-11-01,0.008073941334694603
31,2024-05-01,0.00808346257045326
38,2024-12-01,0.008097883897661284
32,2024-06-01,0.008129000499447772
36,2024-10-01,0.008134303758011423
30,2024-04-01,0.008157432680536536
27,2024-01-01,0.008164729202595469
33,2024-07-01,0.008166111255970675
35,2024-09-01,0.008169562585653716
29,2024-03-01,0.008171591272405012
28,2024-02-01,0.008187111170721788
34,2024-08-01,0.008187233496200076
40,2025-02-01,0.008194246857132232
39,2025-01-01,0.008197108571097953
