split_ix,split_dt,rss
24,2023-10-01,33.571215487814946
25,2023-11-01,33.89493766012136
23,2023-09-01,34.13020784863237
26,2023-12-01,34.13341596936747
38,2024-12-01,34.15013382544247
28,2024-02-01,34.38877567520562
29,2024-03-01,34.39632469393812
30,2024-04-01,34.46484669746765
27,2024-01-01,34.49058318962487
8,2022-06-01,34.62789486934922
32,2024-06-01,34.64711185241969
22,2023-08-01,34.730002836893824
31,2024-05-01,34.73618533463185
21,2023-07-01,34.79180161119131
37,2024-11-01,34.912877087243345
33,2024-07-01,35.092637158087385
35,2024-09-01,35.13813241405778
36,2024-10-01,35.14157813057228
34,2024-08-01,35.155024210566786
9,2022-07-01,35.2175537533105
17,2023-03-01,35.305631889158704
20,2023-06-01,35.33544550252252
16,2023-02-01,35.34199524990143
19,2023-05-01,35.36243622810022
11,2022-09-01,35.45976262754299
18,2023-04-01,35.57445121412199
10,2022-08-01,35.67470541302514
39,2025-01-01,35.73155931926812
12,2022-10-01,35.80850484255957
40,2025-02-01,36.02022580664928
41,2025-03-01,36.031213362263806
42,2025-04-01,36.08981373299549
13,2022-11-01,36.258850636737655
43,2025-05-01,36.39603855951612
44,2025-06-01,36.44996857082569
15,2023-01-01,36.664331817333874
14,2022-12-01,36.791846240533566
