reasoning_date,metric,coef_post_0,p_post_0,coef_post_1,p_post_1
2024-03-01,lexical_diversity,-0.004856607088995862,0.4697222177282889,-0.017766799233918794,0.012524491184310624
2024-03-01,avg_sentence_length,1.460790335223628,0.0020571988836744983,0.9551262454966317,0.028320228930310724
2024-03-01,avg_word_length,-0.05903839003691558,0.18893724605490791,-0.14431480477871067,0.005640597206465568
2024-03-01,total_words,-2160.0502199659345,0.0630175513628155,-696.724431687034,0.5330227346442427
2024-03-01,unique_words,-324.5256394501866,0.002230958509145411,-419.1478698198077,0.005613341482349863
2024-03-01,grading_total_score,-0.9497338843664549,0.3939549355762062,-0.2345648178275308,0.8499178848280065
2024-03-01,num_references,-8.529468653007537,0.0034907102389761494,-11.008795023477209,0.002037429413348218
2024-03-01,equation_count,-14.83383822340678,0.029395787565704944,4.655816742625317,0.557964590939225
2024-03-01,num_figures,8.559912023014604,0.09350566456597735,6.6597632210629705,0.08848356371733809
2024-03-01,num_tables,3.6141775971331125,0.059938431498000606,0.5799536219260628,0.7023602520625708
2024-07-01,lexical_diversity,0.0004409262184307365,0.9475668026978068,-0.01049914373875997,0.19860254050884185
2024-07-01,avg_sentence_length,1.1576332789342942,0.016728179969180898,0.5691257838091099,0.19032107258547337
2024-07-01,avg_word_length,-0.01430823279448612,0.7590529825221929,-0.05717332179451046,0.3604467438454101
2024-07-01,total_words,-2174.6513336285925,0.049296809759946554,-858.4703833332314,0.41668332160694466
2024-07-01,unique_words,-247.9262508302732,0.011091445914759713,-346.22019979119165,0.012765623326316108
2024-07-01,grading_total_score,-1.11108489843284,0.3130998525452543,-0.38890267842356074,0.771136212657639
2024-07-01,num_references,-5.214052748011635,0.12048861231266084,-0.7542218810183043,0.872781345849802
2024-07-01,equation_count,-16.4876044518162,0.01597920741314581,0.8938720841888093,0.9168079377767228
2024-07-01,num_figures,7.044155415625113,0.1798128361694601,3.3381484983147933,0.4556641884378222
2024-07-01,num_tables,3.4447046877428598,0.07438937217739153,0.4622626625082041,0.7543426965963721
2024-11-01,lexical_diversity,0.005296406908659013,0.43126302114705073,0.006914876866858637,0.3721850715450479
2024-11-01,avg_sentence_length,1.071212463454466,0.023788357911931398,0.809192421880514,0.08074654438034769
2024-11-01,avg_word_length,0.009676589059401941,0.8390275744497555,0.027962976189433886,0.672155530372237
2024-11-01,total_words,-2471.2659341298627,0.02049422781490097,-2455.392082547822,0.01972950135156453
2024-11-01,unique_words,-224.49807848065387,0.01671987092551074,-341.63224310741504,0.00722282111058141
2024-11-01,grading_total_score,-1.652681734954733,0.12635421253118737,-2.4817014117528196,0.10236445926320561
2024-11-01,num_references,-5.522088741340143,0.074436031343307,-2.970573271991384,0.5419236113127156
2024-11-01,equation_count,-18.59990920083257,0.003621453210196257,-9.213496214148096,0.41216327167242994
2024-11-01,num_figures,5.299181611860727,0.3128774423835733,-3.7762860316938944,0.470638063601752
2024-11-01,num_tables,3.335220606353809,0.08188287702740392,0.09495869140522961,0.9566261384625708
