placebo_date,p_post_chatgpt,p_post_placebo_pair,metric
2021-06-01,0.9624416715476934,0.45382778686337166,lexical_diversity
2021-06-01,3.0279854696986788e-22,0.14177324894731252,avg_sentence_length
2021-06-01,2.469613925727014e-07,0.5388328581799553,avg_word_length
2021-06-01,0.009467948232884268,0.9769549518120485,total_words
2021-06-01,0.26885933257128725,0.23518519103655577,unique_words
2021-06-01,0.7067897343826921,0.39249668941194915,grading_total_score
2021-06-01,3.8817319344705896e-07,0.13009185819401778,num_references
2021-06-01,1.8825532695080718e-10,0.329766856698691,equation_count
2021-06-01,7.081074402062101e-61,0.1722500264011484,num_figures
2021-06-01,4.866860441053436e-105,0.112000669221538,num_tables
2023-03-01,0.781485865050157,0.19483041425074488,lexical_diversity
2023-03-01,2.985081574821879e-05,0.8885340394980914,avg_sentence_length
2023-03-01,0.17400508186303,0.8605949272336435,avg_word_length
2023-03-01,0.13296285999615465,0.5867503342819511,total_words
2023-03-01,0.15593860991980887,0.304224494853647,unique_words
2023-03-01,0.01008918559159323,2.334024800166965e-05,grading_total_score
2023-03-01,0.06044678418095145,0.4748593173767369,num_references
2023-03-01,0.30804984461881746,0.7625156553897565,equation_count
2023-03-01,0.17706549307095198,0.23093063315273865,num_figures
2023-03-01,0.059817572287748755,0.8686686031630985,num_tables
