split_ix,split_dt,rss
19,2023-05-01,0.2794935960356514
15,2023-01-01,0.2829753850269815
18,2023-04-01,0.28642260763950345
16,2023-02-01,0.2901720405151116
10,2022-08-01,0.29093026905640584
17,2023-03-01,0.2912000655160333
22,2023-08-01,0.2915269498863161
11,2022-09-01,0.29294283287197886
12,2022-10-01,0.2951920929282242
9,2022-07-01,0.29618952242088803
20,2023-06-01,0.29629120191680824
21,2023-07-01,0.29647551006469575
14,2022-12-01,0.29651191015064826
13,2022-11-01,0.2967735139030765
23,2023-09-01,0.30223427267852276
8,2022-06-01,0.313608405654243
31,2024-05-01,0.31842175011389146
37,2024-11-01,0.3187129544901029
32,2024-06-01,0.31873490158510165
24,2023-10-01,0.31905207019684834
30,2024-04-01,0.3237672706139657
38,2024-12-01,0.3248693026389926
42,2025-04-01,0.3256845867192538
28,2024-02-01,0.32624173803797396
34,2024-08-01,0.32636006898027725
35,2024-09-01,0.3263977902821646
33,2024-07-01,0.3265281626066041
36,2024-10-01,0.32662704537398746
29,2024-03-01,0.3272140473171939
41,2025-03-01,0.3283738098929875
25,2023-11-01,0.32949158012360935
40,2025-02-01,0.3307635633733242
39,2025-01-01,0.33086373676017417
43,2025-05-01,0.33112272156181655
26,2023-12-01,0.33297289734889296
27,2024-01-01,0.3335321458477797
44,2025-06-01,0.3357976884352307
