metric,mean_change_monthly,median_change_monthly,within_month_std_change,beta2_Post,p_value_Post,ttest_ind_monthly_means_p,mannwhitney_monthly_means_p,r_squared
lexical_diversity,0.012315466465994906,0.011351451230671772,0.006039135578269565,-0.0009690993357404625,0.8503486019234433,6.148908076328149e-05,3.7801890122804254e-05,0.28061759366297834
avg_sentence_length,0.1849652345582058,0.15247255160299034,-0.08688288141058687,-0.028176078346841882,0.9310804383792772,0.265928211832865,0.12994921398484832,0.02224636658544299
avg_word_length,0.2181244634267303,0.21715770643294796,0.053480720403043414,0.003722055910202249,0.9285866831657534,2.2219998686257534e-12,7.464364612521298e-11,0.6403434801309125
total_words,-518.1965376678236,-498.33443223443464,-404.5830145177906,700.2989474502795,0.38600928471389434,0.19969721653366737,0.13457010347750048,0.0550026620795242
grading_total_score,0.5222181468039793,0.6476190476190453,0.4612731458204591,0.570108111006018,0.5760483854629682,0.3325605097426277,0.19801598185054847,0.012593400651956466
