cutoff,metric,alpha,beta_time,train_r_squared,n_train_months
2022-11-01,lexical_diversity,0.13987863697250552,0.00025544115615512645,0.14048856500287232,46
2022-11-01,avg_sentence_length,19.767365924601616,0.01720732735533527,0.10050697414825671,46
2022-11-01,avg_word_length,4.803484480938403,0.0026101896443327275,0.11994075692742023,46
2022-11-01,total_words,20927.210441413994,-54.27882482048025,0.11943090251636601,46
2022-11-01,grading_total_score,79.32632677608626,-0.05076347597511788,0.12640199858381218,46
2022-12-05,lexical_diversity,0.14094092344066805,0.00018550852821169604,0.0813824836384085,48
2022-12-05,avg_sentence_length,19.659511695307543,0.024308044341581243,0.17879042576192106,48
2022-12-05,avg_word_length,4.806663432288914,0.002396012358951559,0.11191986212889937,48
2022-12-05,total_words,20895.23823073659,-52.1918527376599,0.12436309810491986,48
2022-12-05,grading_total_score,79.24621372714026,-0.04549965896560418,0.1151753189910002,48
